"Id";"Unidade";"Meta1Mes";"Meta1Anual";"Meta3Mes";"Meta3Anual";"TCL";"TCT";"Parados30";"Parados100";"AudienciasMes";"AudienciasAnual";"ProcessosAntigos";"ProcessosTotal";"AntigosPercentual";"TMTCorrente";"TMTPeriodo";"TMT";"TMC";"TMCDespacho";"TMCDecisao";"TMCSentenca";"IAD";"IADBaixados";"IADNovos";"DataRecertificacao";"Atualizacao"
"3VCv";"3.ª Vara Cível";"75,36";"63,72";"65,4";"64,73";"77,25";"77,79";"44";"0";"88,90";"82,30";"249";"1845";"13,49";"23";"27";"346";"0";"6";"6";"7";"87,54";"1524";"1741";"28/03/2024";"03/04/2024"
"4VCv";"4.ª Vara Cível";"50";"64,75";"124,36";"70";"10,37";"83,99";"37";"0";"86,4";"82,1";"250";"1808";"13,83";"1";"115";"368";"0";"6";"6";"7";"89,63";"1495";"1668";"28/03/2024";NA
"Período";NA;"03/2024";"2024";"03/2024";"2024";"03/2024";"03/2024";"03/2024";"03/2024";"03/2024";"2024";"03/2024";"03/2024";"03/2024";"03/2024";"03/2024";"03/2024";"03/2024";"03/2024";"03/2024";"03/2024";"03/2024";"03/2024";"03/2024";NA;NA
"Limite";NA;"100";"100";"100";"100";"50";"50";"0";"0";"80";"80";"60";"60";"20";"36";"36";"0";"30";"5";"5";"30";"100";"0";"0";NA;NA
"Tipo";NA;"Mensal";"Anual";"Mensal";"Anual";"Mês";"Mês";"Mês";"Mês";"Mês";"Mês";"Mês";"Mês";"Mês";"Mês";"Mês";"Mês";"Mês";"Mês";"Mês";"Mês";"Mês";"Mês";"Mês";NA;NA
